,loss,accuracy,val_loss,val_accuracy
0,19.95327377319336,0.5938888788223267,1.9597879648208618,0.6179999709129333
1,0.8331536650657654,0.6751111149787903,0.5514036417007446,0.7210000157356262
2,0.5744045376777649,0.7028889060020447,0.552581250667572,0.7170000076293945
3,0.5740870833396912,0.699999988079071,0.5577813982963562,0.7095000147819519
4,0.5926775336265564,0.6831666827201843,0.5680745244026184,0.6990000009536743
5,0.6455390453338623,0.6047777533531189,0.696791410446167,0.5009999871253967
6,0.6946133375167847,0.5,0.6934263706207275,0.5
7,0.6932768821716309,0.5,0.6931589841842651,0.5
8,0.6931975483894348,0.49577778577804565,0.6931473016738892,0.5
9,0.6931856274604797,0.4976111054420471,0.6931520700454712,0.5
