,loss,accuracy,val_loss,val_accuracy
0,1.2185250520706177,0.5530555844306946,0.6870761513710022,0.5764999985694885
1,0.6569246649742126,0.6117222309112549,0.6378107666969299,0.6420000195503235
2,0.6202417016029358,0.660277783870697,0.6205250024795532,0.6669999957084656
3,0.6011119484901428,0.6770555377006531,0.5985261797904968,0.6815000176429749
4,0.5844147801399231,0.6938889026641846,0.5851974487304688,0.699999988079071
5,0.5692325830459595,0.7052778005599976,0.5790864825248718,0.6995000243186951
6,0.5617367029190063,0.7096666693687439,0.5821811556816101,0.6869999766349792
7,0.5501246452331543,0.7222777605056763,0.5647050738334656,0.7089999914169312
8,0.540847659111023,0.7318333387374878,0.5543071031570435,0.718500018119812
9,0.5301855206489563,0.7357222437858582,0.5500701069831848,0.7214999794960022
